subject,activity,configuration,modality,metric,device,reference,segment,start_sec,end_sec
subject_5,laying,patch,lead2,mean_hr,58.027079303675045,58.05515239477503,0.0,0.0,10.0
subject_5,laying,patch,lead2,mean_hr,58.65102639296187,58.679706601467,1.0,10.0,20.0
subject_5,laying,patch,lead2,mean_hr,61.664953751284685,61.664953751284685,2.0,20.0,30.0
subject_5,laying,patch,lead2,mean_hr,63.320825515947476,63.320825515947476,3.0,30.0,40.0
subject_5,laying,patch,lead2,mean_hr,61.196736174070715,61.224489795918366,4.0,40.0,50.0
subject_5,laying,patch,lead2,mean_hr,61.25574272588055,61.25574272588055,5.0,50.0,60.0
subject_5,laying,patch,lead2,mean_hr,60.821084642676134,60.882800608828006,6.0,60.0,70.0
subject_5,laying,patch,lead2,mean_hr,66.14404703576679,66.20892594409025,7.0,70.0,80.0
subject_5,laying,patch,lead2,mean_hr,64.68615237182557,64.68615237182557,8.0,80.0,90.0
subject_5,laying,patch,lead2,mean_hr,60.575466935890965,60.575466935890965,9.0,90.0,100.0
subject_5,laying,patch,lead2,mean_hr,67.63527054108218,67.63527054108216,10.0,100.0,110.0
subject_5,laying,patch,lead2,mean_hr,64.99759268175252,65.02890173410404,11.0,110.0,120.0
subject_5,laying,patch,lead2,mean_hr,62.90773532152843,62.90773532152843,12.0,120.0,130.0
subject_5,laying,patch,lead2,rmssd,31.820927525316236,29.393876913398138,0.0,0.0,10.0
subject_5,laying,patch,lead2,rmssd,24.331050121192877,24.979991993593593,1.0,10.0,20.0
subject_5,laying,patch,lead2,rmssd,37.2175074009915,35.4884286976554,2.0,20.0,30.0
subject_5,laying,patch,lead2,rmssd,19.595917942265423,19.595917942265423,3.0,30.0,40.0
subject_5,laying,patch,lead2,rmssd,25.96150997149434,26.49528259898354,4.0,40.0,50.0
subject_5,laying,patch,lead2,rmssd,17.10471948239516,19.36122782411133,5.0,50.0,60.0
subject_5,laying,patch,lead2,rmssd,25.20770857155746,25.967012040004033,6.0,60.0,70.0
subject_5,laying,patch,lead2,rmssd,32.7414110874898,31.591137997862628,7.0,70.0,80.0
subject_5,laying,patch,lead2,rmssd,12.806248474865697,14.071247279470288,8.0,80.0,90.0
subject_5,laying,patch,lead2,rmssd,21.64651077128664,20.396078054371138,9.0,90.0,100.0
subject_5,laying,patch,lead2,rmssd,33.704599092705436,34.55430508634199,10.0,100.0,110.0
subject_5,laying,patch,lead2,rmssd,18.384776310850235,16.431676725154983,11.0,110.0,120.0
subject_5,laying,patch,lead2,rmssd,16.0,16.1245154965971,12.0,120.0,130.0
subject_5,laying,patch,lead2,snr,0.9205660384654084,0.9214397004103432,0.0,0.0,10.0
subject_5,laying,patch,lead2,snr,0.9163847898965269,0.9167626587256841,1.0,10.0,20.0
subject_5,laying,patch,lead2,snr,0.9113386793692343,0.9078283673554555,2.0,20.0,30.0
subject_5,laying,patch,lead2,snr,0.911380310220912,0.9095520445196241,3.0,30.0,40.0
subject_5,laying,patch,lead2,snr,0.9165850983819536,0.9157455760179001,4.0,40.0,50.0
subject_5,laying,patch,lead2,snr,0.9155047651127443,0.9161570030114764,5.0,50.0,60.0
subject_5,laying,patch,lead2,snr,0.9126597965265181,0.9113907367631241,6.0,60.0,70.0
subject_5,laying,patch,lead2,snr,0.8954996890574525,0.9027371270895888,7.0,70.0,80.0
subject_5,laying,patch,lead2,snr,0.9118580344031275,0.9106045455526576,8.0,80.0,90.0
subject_5,laying,patch,lead2,snr,0.9038577281871436,0.911661231810201,9.0,90.0,100.0
subject_5,laying,patch,lead2,snr,0.9069102838209895,0.9038870907317496,10.0,100.0,110.0
subject_5,laying,patch,lead2,snr,0.9086811230946988,0.9070645055017449,11.0,110.0,120.0
subject_5,laying,patch,lead2,snr,0.9131482012704057,0.9139107196307331,12.0,120.0,130.0
subject_5,laying,patch,impedance_pneumography,resp_rate_mean,18.756046547402743,18.81533877080195,0.0,0.0,30.0
subject_5,laying,patch,impedance_pneumography,resp_rate_mean,16.610489054078794,20.34468268649757,1.0,25.0,55.0
subject_5,laying,patch,impedance_pneumography,resp_rate_mean,20.1134099907178,15.837747045587463,2.0,50.0,80.0
subject_5,laying,patch,impedance_pneumography,resp_rate_mean,21.321358173300226,19.70077426412763,3.0,75.0,105.0
subject_5,laying,patch,impedance_pneumography,resp_rate_mean,20.806270347017527,17.833749578449805,4.0,100.0,130.0
subject_5,laying,patch,impedance_pneumography,spi,0.8732047495012515,0.841353655508503,0.0,0.0,30.0
subject_5,laying,patch,impedance_pneumography,spi,0.7193797647238487,0.7156111450655097,1.0,25.0,55.0
subject_5,laying,patch,impedance_pneumography,spi,0.7462909297787371,0.71002740404062,2.0,50.0,80.0
subject_5,laying,patch,impedance_pneumography,spi,0.8266518578905394,0.677714086766512,3.0,75.0,105.0
subject_5,laying,patch,impedance_pneumography,spi,0.7628460952643364,0.7486129116354513,4.0,100.0,130.0
subject_5,laying,patch,gyry_ribs_imu,resp_rate_mean,18.873971280016015,18.81533877080195,0.0,0.0,30.0
subject_5,laying,patch,gyry_ribs_imu,resp_rate_mean,18.238203540010378,20.34468268649757,1.0,25.0,55.0
subject_5,laying,patch,gyry_ribs_imu,resp_rate_mean,16.186801478877225,15.837747045587463,2.0,50.0,80.0
subject_5,laying,patch,gyry_ribs_imu,resp_rate_mean,18.701823497685755,19.70077426412763,3.0,75.0,105.0
subject_5,laying,patch,gyry_ribs_imu,resp_rate_mean,17.593796629737092,17.833749578449805,4.0,100.0,130.0
subject_5,laying,patch,gyry_ribs_imu,spi,0.8723072930275831,0.841353655508503,0.0,0.0,30.0
subject_5,laying,patch,gyry_ribs_imu,spi,0.7360928269831858,0.7156111450655097,1.0,25.0,55.0
subject_5,laying,patch,gyry_ribs_imu,spi,0.7706061845339869,0.71002740404062,2.0,50.0,80.0
subject_5,laying,patch,gyry_ribs_imu,spi,0.8297734909283502,0.677714086766512,3.0,75.0,105.0
subject_5,laying,patch,gyry_ribs_imu,spi,0.7829866933634666,0.7486129116354513,4.0,100.0,130.0
subject_5,laying,patch,resp_modality,rr_impedance_pneumography,18.756046547402743,18.81533877080195,0.0,0.0,30.0
subject_5,laying,patch,resp_modality,rr_impedance_pneumography,16.610489054078794,20.34468268649757,1.0,25.0,55.0
subject_5,laying,patch,resp_modality,rr_impedance_pneumography,20.1134099907178,15.837747045587463,2.0,50.0,80.0
subject_5,laying,patch,resp_modality,rr_impedance_pneumography,21.321358173300226,19.70077426412763,3.0,75.0,105.0
subject_5,laying,patch,resp_modality,rr_impedance_pneumography,20.806270347017527,17.833749578449805,4.0,100.0,130.0
subject_5,laying,patch,resp_modality,rr_gyry_ribs_imu,18.873971280016015,18.81533877080195,0.0,0.0,30.0
subject_5,laying,patch,resp_modality,rr_gyry_ribs_imu,18.238203540010378,20.34468268649757,1.0,25.0,55.0
subject_5,laying,patch,resp_modality,rr_gyry_ribs_imu,16.186801478877225,15.837747045587463,2.0,50.0,80.0
subject_5,laying,patch,resp_modality,rr_gyry_ribs_imu,18.701823497685755,19.70077426412763,3.0,75.0,105.0
subject_5,laying,patch,resp_modality,rr_gyry_ribs_imu,17.593796629737092,17.833749578449805,4.0,100.0,130.0
subject_5,laying,patch,resp_modality,rr_mean_fused,18.815008913709377,18.81533877080195,0.0,0.0,30.0
subject_5,laying,patch,resp_modality,rr_mean_fused,17.424346297044586,20.34468268649757,1.0,25.0,55.0
subject_5,laying,patch,resp_modality,rr_mean_fused,18.150105734797513,15.837747045587463,2.0,50.0,80.0
subject_5,laying,patch,resp_modality,rr_mean_fused,20.01159083549299,19.70077426412763,3.0,75.0,105.0
subject_5,laying,patch,resp_modality,rr_mean_fused,19.200033488377308,17.833749578449805,4.0,100.0,130.0
