subject,activity,configuration,modality,metric,device,reference,segment,start_sec,end_sec
,,,lead1,mean_hr,64.9328505361297,64.90478287756872,0.0,0.0,10.0
,,,lead1,mean_hr,62.83667374167822,62.83132902145175,1.0,10.0,20.0
,,,lead1,mean_hr,61.71766916485292,61.752655730011895,2.0,20.0,30.0
,,,lead1,mean_hr,59.78547939529787,59.74395056856083,3.0,30.0,40.0
,,,lead1,mean_hr,64.15338143856154,64.14807662506786,4.0,40.0,50.0
,,,lead1,mean_hr,66.37823970357647,66.37682712842899,5.0,50.0,60.0
,,,lead1,mean_hr,63.45795126034756,63.434058885471785,6.0,60.0,70.0
,,,lead1,mean_hr,66.12568732551034,66.15651954888364,7.0,70.0,80.0
,,,lead1,mean_hr,64.59829357135436,64.6006180111887,8.0,80.0,90.0
,,,lead1,mean_hr,67.23760301843231,67.20780954002569,9.0,90.0,100.0
,,,lead1,mean_hr,67.06938904282293,67.10551540540747,10.0,100.0,110.0
,,,lead1,rmssd,52.66877632905477,53.74011537017761,0.0,0.0,10.0
,,,lead1,rmssd,62.56196927846821,61.25357132445422,1.0,10.0,20.0
,,,lead1,rmssd,51.536394906900505,52.50306113524647,2.0,20.0,30.0
,,,lead1,rmssd,92.81625473405585,90.69887383140826,3.0,30.0,40.0
,,,lead1,rmssd,72.20605435636465,73.02445774239908,4.0,40.0,50.0
,,,lead1,rmssd,61.98386886924694,62.25752966509352,5.0,50.0,60.0
,,,lead1,rmssd,76.40680597957227,77.26577508832743,6.0,60.0,70.0
,,,lead1,rmssd,68.76045375068433,68.30812543175226,7.0,70.0,80.0
,,,lead1,rmssd,41.10960958218893,41.23105625617661,8.0,80.0,90.0
,,,lead1,rmssd,73.60706487831179,74.67261881037788,9.0,90.0,100.0
,,,lead1,rmssd,63.166446789415026,63.245553203367585,10.0,100.0,110.0
,,,lead1,snr,0.8983664061936576,0.8735247631393308,0.0,0.0,10.0
,,,lead1,snr,0.9072563020592448,0.8840089454606106,1.0,10.0,20.0
,,,lead1,snr,0.9022558027644678,0.8784730868582583,2.0,20.0,30.0
,,,lead1,snr,0.9020923996684442,0.8759032591606809,3.0,30.0,40.0
,,,lead1,snr,0.9011064661118304,0.876733469501078,4.0,40.0,50.0
,,,lead1,snr,0.8997284001677396,0.8745943248778353,5.0,50.0,60.0
,,,lead1,snr,0.9025896218488452,0.878098651031076,6.0,60.0,70.0
,,,lead1,snr,0.8979670746046136,0.8721887937063451,7.0,70.0,80.0
,,,lead1,snr,0.898677933892284,0.8737861331617238,8.0,80.0,90.0
,,,lead1,snr,0.8974707280709695,0.8717994963704874,9.0,90.0,100.0
,,,lead1,snr,0.8943629452141666,0.8705118247964899,10.0,100.0,110.0
,,,lead2,mean_hr,64.93670401957951,64.913203932559,0.0,0.0,10.0
,,,lead2,mean_hr,62.83667374167822,62.83132902145175,1.0,10.0,20.0
,,,lead2,mean_hr,61.71766916485292,61.752655730011895,2.0,20.0,30.0
,,,lead2,mean_hr,59.75462129319459,59.759663616694,3.0,30.0,40.0
,,,lead2,mean_hr,64.15338143856154,64.13869978199696,4.0,40.0,50.0
,,,lead2,mean_hr,66.37823970357647,66.37682712842899,5.0,50.0,60.0
,,,lead2,mean_hr,63.42304139761315,63.434058885471785,6.0,60.0,70.0
,,,lead2,mean_hr,66.12568732551034,66.15295120339347,7.0,70.0,80.0
,,,lead2,mean_hr,64.62993713821722,64.6006180111887,8.0,80.0,90.0
,,,lead2,mean_hr,67.23948263595793,67.24117490410855,9.0,90.0,100.0
,,,lead2,mean_hr,67.06938904282293,67.10690813666521,10.0,100.0,110.0
,,,lead2,rmssd,53.49766350038102,55.49774770204643,0.0,0.0,10.0
