segment,start_sec,end_sec,dev_peak_method,ref_peak_method,dev_signal_mean,ref_signal_mean,diff_signal_mean,dev_n_r_peaks,ref_n_r_peaks,diff_n_r_peaks,dev_mean_hr,ref_mean_hr,diff_mean_hr,dev_rmssd,ref_rmssd,diff_rmssd
0,0.0,10.0,pan_tompkins,pan_tompkins,0.00023163465122303978,3.3180470352647244e-07,0.0002313028465195133,8,8,0,56.96651628780983,55.82074940723637,1.1457668805734613,37.77124126457412,51.84592558726288,-14.07468432268876
1,10.0,20.0,pan_tompkins,pan_tompkins,-0.00025077745077434443,-2.791236192684667e-07,-0.00025049832715507596,9,8,1,55.42943051720431,55.25757751713984,0.17185300006446624,39.54021461029987,41.44072071445348,-1.9005061041536067
2,20.0,30.0,pan_tompkins,pan_tompkins,5.395096286177695e-05,-2.1493022275568577e-08,5.3972455884052525e-05,8,9,-1,56.02543896938272,54.43305417596537,1.5923847934173523,40.431011200150145,24.56478315451963,15.866228045630514
3,30.0,40.0,pan_tompkins,pan_tompkins,0.0001350168918861066,7.768165980340919e-10,0.00013501611506950856,8,8,0,54.93248569082293,53.956733953030984,0.9757517377919456,26.482698754721607,33.78362522485314,-7.300926470131532
4,40.0,50.0,pan_tompkins,pan_tompkins,-0.0001727560707387762,1.4283549919306385e-08,-0.0001727703542886955,8,8,0,54.10848564899787,55.21523052526516,-1.1067448762672925,22.090722034374522,41.505019776729014,-19.414297742354492
5,50.0,60.0,pan_tompkins,pan_tompkins,-0.00015012215533901228,-4.476023609120603e-08,-0.00015007739510292106,8,8,0,54.47125343306018,56.26502738465373,-1.7937739515935505,40.85747585611883,36.733272837215765,4.124203018903067
6,60.0,70.0,pan_tompkins,pan_tompkins,3.398049249785515e-05,-6.892313241911564e-08,3.404941563027427e-05,8,8,0,55.575008405344725,55.49418823383406,0.08082017151066623,35.175749222061114,32.903900478008175,2.2718487440529387
7,70.0,80.0,pan_tompkins,pan_tompkins,0.00010236144896588027,3.350933091564243e-08,0.00010232793963496463,9,9,0,56.44422033531942,56.66592064618066,-0.22170031086123743,35.745129538362086,34.50879805002114,1.2363314883409444
8,80.0,90.0,pan_tompkins,pan_tompkins,-6.0321010413270595e-05,3.932957888997784e-07,-6.071430620217037e-05,8,8,0,55.81731618652777,57.21022734565762,-1.3929111591298522,36.95041722813605,26.482698754721607,10.46771847341444
9,90.0,100.0,pan_tompkins,pan_tompkins,6.660259476967463e-05,-9.308017188026983e-07,6.753339648847732e-05,8,9,-1,56.969263357210636,58.02664354194581,-1.0573801847351731,31.283648551066843,33.8399594731267,-2.556310922059854
10,100.0,110.0,pan_tompkins,pan_tompkins,0.00012708571495266847,6.074897100369859e-07,0.00012647822524263148,8,9,-1,57.460876567196976,57.783815345853206,-0.3229387786562299,22.50925735484551,39.8855505522632,-17.376293197417688
