peak_method,resp_rate_mean,resp_rate_std,resp_rate_min,resp_rate_max,resp_rate_median,bbi_mean,bbi_std,bbi_cv,bbi_rmssd,peak_amp_mean,peak_amp_std,n_breaths,signal_mean,signal_std,signal_rms,segment,start_sec,end_sec
ampd,20.491803278688526,0.0,20.491803278688526,20.491803278688526,20.491803278688526,2.928,0.0,0.0,0.0,0.02624384669725205,0.029625055124586124,2,0.0009651776768124136,0.0316037130334832,0.03161844786593062,0,0.0,10.0
ampd,14.970059880239521,0.0,14.970059880239521,14.970059880239521,14.970059880239521,4.008,0.0,0.0,0.0,0.10085863689444177,0.00042209091004963284,2,0.0009069208703974702,0.05301000045740621,0.05301775791147122,1,10.0,20.0
msptd,24.78850913600206,7.068719385002055,16.910935738444195,36.144578313253014,23.04926124615551,2.607,0.6742069415246331,0.258614093411827,1.197528566117179,0.011872536158883345,0.06487805712790737,6,-0.004390929615712152,0.04336339251723963,0.043585135923779474,2,20.0,30.0
ampd,14.071294559099437,0.0,14.071294559099437,14.071294559099437,14.071294559099437,4.264,0.0,0.0,0.0,0.03532539028588336,0.020607295415046526,2,0.000804749957438628,0.03657168407083825,0.036580537151212004,3,30.0,40.0
ampd,14.071294559099437,0.0,14.071294559099437,14.071294559099437,14.071294559099437,4.264,0.0,0.0,0.0,0.05471437534374029,0.024759875467355023,2,0.006523377794862617,0.034655369121934884,0.035263991079174016,4,40.0,50.0
ampd,18.764190419004372,0.5160152365226196,18.248175182481752,19.28020565552699,18.764190419004372,3.2,0.08799999999999986,0.027499999999999955,0.1759999999999997,0.07480749956841873,0.01686940770060692,3,-0.006454798573912322,0.04356879021732531,0.04404434022245177,5,50.0,60.0
ampd,13.42882721575649,0.0,13.42882721575649,13.42882721575649,13.42882721575649,4.468,0.0,0.0,0.0,0.018354374602654336,0.024175104334080016,2,-8.49605166961453e-05,0.02920910293198414,0.029209226494048796,6,60.0,70.0
ampd,18.820577164366373,0.0,18.820577164366373,18.820577164366373,18.820577164366373,3.188,0.0,0.0,0.0,0.2631089157581543,0.05903524696876958,2,0.010868543730931027,0.15193376460975777,0.15232200783643987,7,70.0,80.0
ampd,14.177693761814744,0.0,14.177693761814744,14.177693761814744,14.177693761814744,4.232,0.0,0.0,0.0,0.0948999853656664,0.007935610430504322,2,-0.004420744921428571,0.04917630914448951,0.04937461257300901,8,80.0,90.0
ampd,20.080321285140563,0.0,20.080321285140563,20.080321285140563,20.080321285140563,2.988,0.0,0.0,0.0,0.07383231054169374,0.038568236577030054,2,0.014124741139966875,0.13583622196031483,0.136568618315933,9,90.0,100.0
ampd,18.679950186799502,0.0,18.679950186799502,18.679950186799502,18.679950186799502,3.212,0.0,0.0,0.0,0.037458584715909064,0.006474507151774833,2,-0.016711739840097297,0.036250602222459856,0.03991726957062704,10,100.0,110.0
ampd,29.92393762438788,8.316302704453667,20.547945205479454,40.76086956521739,28.46299810246679,2.1666666666666665,0.5925972962776286,0.2735064444358286,1.1183022847155415,0.23679132375736084,0.4407703986619638,4,-0.006295294004751614,0.2096194866800727,0.2097139955334966,11,110.0,120.0
msptd,22.1767726123443,10.319135033684052,15.182186234817815,40.0,16.762452107279692,3.155,0.9714787697114127,0.307917201176359,1.8162085049171346,-0.03371785350466817,0.1587614785286476,6,-0.045335042312691386,0.1241490280557456,0.1321674968692372,12,120.0,130.0
msptd,19.644078747339616,5.439533292794163,14.204545454545453,25.08361204013378,19.644078747339616,3.308,0.9160000000000001,0.27690447400241847,1.8320000000000003,0.12750145259502882,0.2747307151553015,4,0.03820486494402417,0.18973943588952438,0.19354757874245304,13,130.0,140.0
ampd,27.576414564407767,4.842053384655407,21.008403361344538,32.53796095444685,29.182879377431906,2.2520000000000002,0.43577364154646453,0.1935051694256059,0.585211073032628,0.04699506924126968,0.04188407405632643,4,0.01335120528233462,0.05371501778317928,0.05534941569644892,14,140.0,150.0
