segment,start_sec,end_sec,pca_acc_ribs_resp_rate_mean,pca_gyr_ribs_resp_rate_mean,diff_resp_rate_mean,pct_diff_resp_rate_mean,pca_acc_ribs_resp_rate_std,pca_gyr_ribs_resp_rate_std,diff_resp_rate_std,pct_diff_resp_rate_std,pca_acc_ribs_resp_rate_min,pca_gyr_ribs_resp_rate_min,diff_resp_rate_min,pct_diff_resp_rate_min,pca_acc_ribs_resp_rate_max,pca_gyr_ribs_resp_rate_max,diff_resp_rate_max,pct_diff_resp_rate_max,pca_acc_ribs_resp_rate_median,pca_gyr_ribs_resp_rate_median,diff_resp_rate_median,pct_diff_resp_rate_median,pca_acc_ribs_bbi_mean,pca_gyr_ribs_bbi_mean,diff_bbi_mean,pct_diff_bbi_mean,pca_acc_ribs_bbi_std,pca_gyr_ribs_bbi_std,diff_bbi_std,pct_diff_bbi_std,pca_acc_ribs_bbi_cv,pca_gyr_ribs_bbi_cv,diff_bbi_cv,pct_diff_bbi_cv,pca_acc_ribs_bbi_rmssd,pca_gyr_ribs_bbi_rmssd,diff_bbi_rmssd,pct_diff_bbi_rmssd,pca_acc_ribs_peak_amp_mean,pca_gyr_ribs_peak_amp_mean,diff_peak_amp_mean,pct_diff_peak_amp_mean,pca_acc_ribs_peak_amp_std,pca_gyr_ribs_peak_amp_std,diff_peak_amp_std,pct_diff_peak_amp_std,pca_acc_ribs_n_breaths,pca_gyr_ribs_n_breaths,diff_n_breaths,pct_diff_n_breaths,pca_acc_ribs_signal_mean,pca_gyr_ribs_signal_mean,diff_signal_mean,pct_diff_signal_mean,pca_acc_ribs_signal_std,pca_gyr_ribs_signal_std,diff_signal_std,pct_diff_signal_std,pca_acc_ribs_signal_rms,pca_gyr_ribs_signal_rms,diff_signal_rms,pct_diff_signal_rms
0,0.0,10.0,41.91927490632118,20.18842530282638,21.730849603494796,107.64014170264421,24.56022039331733,0.0,24.56022039331733,24560220393317.33,14.272121788772598,20.18842530282638,-5.916303514053784,29.30542340627974,80.21390374331551,20.18842530282638,60.02547844048913,297.32620320855614,36.59553704659832,20.18842530282638,16.407111743771935,81.26989350415032,2.098,2.972,-0.8740000000000001,29.407806191117096,1.305782524006199,0.0,1.305782524006199,1305782524006.199,0.6223939580582456,0.0,0.6223939580582456,622393958058.2456,2.070223176374953,0.0,2.070223176374953,2070223176374.9526,0.42202640700853955,0.008040059782125717,0.4139863472264138,5149.045634545763,0.2671231905212463,0.0004494386933009075,0.2666737518279454,59334.844952791456,5,2,3,150.0,0.05526061249724781,0.0009333464904091522,0.05432726600683866,5820.696447149348,0.3483094742845505,0.0032571211023666004,0.3450523531821839,10593.783354615565,0.3526658831953424,0.003388210965486196,0.34927767222985623,10308.616428780613
1,10.0,20.0,17.81472684085511,15.479876160990713,2.3348506798643953,15.083135391923994,0.0,0.0,0.0,0.0,17.81472684085511,15.479876160990713,2.3348506798643953,15.083135391923994,17.81472684085511,15.479876160990713,2.3348506798643953,15.083135391923994,17.81472684085511,15.479876160990713,2.3348506798643953,15.083135391923994,3.368,3.876,-0.508,13.106295149638802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5604261877687797,0.00581788224449378,0.554608305524286,9532.821088793677,0.00017325027679232496,0.0008921961679010911,-0.0007189458911087661,80.58159370938573,2,2,0,0.0,-0.05141815376997845,4.0034976957862776e-05,-0.05145818874693631,128533.07946473052,0.37170595233385556,0.0037875115137963786,0.3679184408200592,9713.988709470072,0.3752454417278531,0.003787723097920458,0.37145771862993265,9806.886855954992
2,20.0,30.0,17.857142857142858,16.061409352186963,1.7957335049558942,11.180422997633034,0.0,0.6609986745688916,-0.6609986745688916,100.0,17.857142857142858,15.400410677618071,2.4567321795247867,15.952380952380949,17.857142857142858,16.722408026755854,1.1347348303870035,6.785714285714281,17.857142857142858,16.061409352186963,1.7957335049558942,11.180422997633034,3.36,3.742,-0.3820000000000001,10.208444681988246,0.0,0.15399999999999991,-0.15399999999999991,100.0,0.0,0.0411544628540887,-0.0411544628540887,100.0,0.0,0.30799999999999983,-0.30799999999999983,100.0,0.5113436037170627,0.005799134764925158,0.5055444689521376,8717.584423280117,0.019159557524194404,0.0005246743971407162,0.01863488312705369,3551.7043005351497,2,3,-1,33.33333333333333,-0.007261227306169434,0.00045914739787213435,-0.0077203747040415684,1681.4588822283988,0.3555266035672858,0.0034361975747700213,0.3520904059925158,10246.51226628261,0.35560074699876804,0.003466737674792849,0.3521340093239752,10157.503750121981
3,30.0,40.0,15.082026374750011,13.992537313432836,1.0894890613171757,7.786215158213416,1.3833962377637095,0.0,1.3833962377637095,1383396237763.7095,13.698630136986301,13.992537313432836,-0.29390717644653463,2.100456621004567,16.46542261251372,13.992537313432836,2.4728852990808843,17.672886937431386,15.082026374750011,13.992537313432836,1.0894890613171757,7.786215158213416,4.0120000000000005,4.288,-0.2759999999999998,6.4365671641791,0.3679999999999999,0.0,0.3679999999999999,367999999999.9999,0.09172482552342967,0.0,0.09172482552342967,91724825523.42967,0.7359999999999998,0.0,0.7359999999999998,735999999999.9998,0.39476968723282724,0.004916715168054033,0.3898529720647732,7929.134772699707,0.024781844396953488,0.00019864576706481087,0.024583198629888676,12375.395153458303,3,2,1,50.0,0.01094730436900864,-0.0005170294112201567,0.011464333780228797,2217.3465438211133,0.25575934002760153,0.002876234032031068,0.25288310599557046,8792.16027553209,0.2559935223483243,0.0029223349601098705,0.25307118738821444,8659.896652596584
4,40.0,50.0,32.08120923603518,13.794857004068248,18.28635223196693,132.55920106003342,7.726052112361932,0.7400267168619825,6.98602539549995,944.0234029824719,20.463847203274216,13.054830287206267,7.40901691606795,56.753069577080495,40.98360655737705,14.534883720930232,26.44872283644682,181.96721311475412,33.692484546582094,13.794857004068248,19.897627542513845,144.23946211726462,2.0006666666666666,4.362,-2.3613333333333335,54.13418920984259,0.5491686646397647,0.23399999999999999,0.3151686646397647,134.68746352126698,0.2744928347083129,0.05364511691884456,0.22084771778946838,411.6827970075475,1.02646422246467,0.46799999999999997,0.5584642224646701,119.32996206510045,-0.01150374025407451,0.00414430822058002,-0.01564804847465453,377.5792639396037,0.3024399809085267,0.0005672030557398146,0.3018727778527869,53221.289060061215,8,3,5,166.66666666666669,0.013246141243762161,-0.0003128955038288918,0.013559036747591053,4333.407345797423,0.2564870899368679,0.002779939918189303,0.2537071500186786,9126.353715728115,0.25682890717777984,0.002797493439681081,0.2540314137380988,9080.67951598338
5,50.0,60.0,16.39344262295082,13.293611527334068,3.09983109561675,23.318201297239185,0.0,0.1472486877196948,-0.1472486877196948,100.0,16.39344262295082,13.146362839614373,3.2470797833364458,24.699453551912566,16.39344262295082,13.440860215053762,2.952582407897056,21.9672131147541,16.39344262295082,13.293611527334068,3.09983109561675,23.318201297239185,3.66,4.514,-0.8540000000000001,18.91891891891892,0.0,0.04999999999999982,-0.04999999999999982,100.0,0.0,0.011076650420912677,-0.011076650420912677,100.0,0.0,0.09999999999999964,-0.09999999999999964,100.0,0.5139499446330246,0.001144531769045425,0.5128054128639792,44804.82121450196,0.010614085626394654,0.005194682005764913,0.005419403620629741,104.32599367228713,2,4,-2,50.0,-0.020840017600626464,-0.0001349361024527992,-0.020705081498173666,15344.360124390229,0.2948886182893301,0.0031996378327341793,0.2916889804565959,9116.312398623551,0.295624091592997,0.0032024818520030728,0.29242160974099396,9131.093422374634
6,60.0,70.0,21.42857142857143,16.89189189189189,4.536679536679539,26.857142857142875,0.0,0.0,0.0,0.0,21.42857142857143,16.89189189189189,4.536679536679539,26.857142857142875,21.42857142857143,16.89189189189189,4.536679536679539,26.857142857142875,21.42857142857143,16.89189189189189,4.536679536679539,26.857142857142875,2.8,3.552,-0.7520000000000002,21.171171171171178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40694051756173,0.006265783014610506,0.4006747345471195,6394.647462461262,0.06386088726857395,0.0013980727808583179,0.06246281448771563,4467.779885491217,2,2,0,0.0,0.03764581129416506,0.0007831972601138194,0.03686261403405124,4706.683221631051,0.29100273230970797,0.003152191568224561,0.2878505407414834,9131.75911144297,0.29342766965593314,0.0032480316548697324,0.2901796380010634,8934.01508467446
7,70.0,80.0,23.25833941614011,21.438553715322172,1.8197857008179383,8.488379043579485,6.095868020259106,3.687074425381345,2.4087935948777606,65.33075595914029,17.162471395881006,17.75147928994083,-0.5890078940598222,3.318077803203665,29.354207436399218,25.12562814070352,4.228579295695699,16.829745596868882,23.25833941614011,21.438553715322172,1.8197857008179383,8.488379043579485,2.77,2.884,-0.11399999999999988,3.9528432732316188,0.726,0.496,0.22999999999999998,46.37096774193548,0.2620938628158845,0.17198335644937587,0.09011050636650861,52.39489926633283,1.452,0.992,0.45999999999999996,46.37096774193548,0.3751962922254724,0.005218513713615405,0.369977778511857,7089.715555342195,0.02765921037422441,0.0011008008449838677,0.026558409529240542,2412.644362534965,3,3,0,0.0,-0.030814919829474353,0.001442305259089346,-0.0322572250885637,2236.5047125273964,0.2963461127977178,0.0026712069720399006,0.2936749058256779,10994.090270789065,0.29794391729722325,0.0030357192142672486,0.294908198082956,9714.607223782385
8,80.0,90.0,13.562386980108498,13.748854262144821,-0.18646728203632357,1.35623869801086,0.0,0.0,0.0,0.0,13.562386980108498,13.748854262144821,-0.18646728203632357,1.35623869801086,13.562386980108498,13.748854262144821,-0.18646728203632357,1.35623869801086,13.562386980108498,13.748854262144821,-0.18646728203632357,1.35623869801086,4.424,4.364,0.0600000000000005,1.3748854262144936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3836396157542452,0.0038591835414897163,0.3797804322127555,9840.95283703851,0.025562876672566875,0.00023052936104693209,0.025332347311519943,10988.772621619632,2,2,0,0.0,-0.007267152818519901,-0.0010852736762015866,-0.006181879142318315,569.6147688714462,0.20284628530136742,0.002398458621742261,0.20044782667962516,8357.360217205587,0.2029764197404503,0.0026325696025871555,0.20034385013786316,7610.201452640622
9,90.0,100.0,16.331731554269986,17.523364485981308,-1.1916329317113217,6.800251930299275,2.073176421190138,0.0,2.073176421190138,2073176421190.138,14.258555133079847,17.523364485981308,-3.2648093529014606,18.631178707224336,18.404907975460123,17.523364485981308,0.8815434894788154,5.030674846625774,16.331731554269986,17.523364485981308,-1.1916329317113217,6.800251930299275,3.734,3.424,0.31000000000000005,9.053738317757011,0.4740000000000002,0.0,0.4740000000000002,474000000000.0002,0.12694161756829142,0.0,0.12694161756829142,126941617568.29143,0.9480000000000004,0.0,0.9480000000000004,948000000000.0004,0.36784484670360307,0.0035852325806016517,0.3642596141230014,10159.999551880497,0.021706507599143377,0.0005198264388632887,0.021186681160280087,4075.722121138986,3,2,1,50.0,0.03653021825341331,-0.00040527197647134027,0.03693549022988465,9113.753818232884,0.23422365283198382,0.0025753175311119393,0.2316483353008719,8994.942662501644,0.23705521802229895,0.002607010886238391,0.23444820713606057,8992.98918825543
