peak_method,resp_rate_mean,resp_rate_std,resp_rate_min,resp_rate_max,resp_rate_median,bbi_mean,bbi_std,bbi_cv,bbi_rmssd,peak_amp_mean,peak_amp_std,n_breaths,signal_mean,signal_std,signal_rms,segment,start_sec,end_sec
ampd,41.35410372066357,12.806363931377712,22.865853658536583,57.69230769230769,42.429126765904996,1.6320000000000001,0.6053362701837716,0.37091683222044824,0.638030302310687,-0.023001064086798508,0.0736473057097456,5,-0.045323201680851515,0.06835066879536397,0.08201223405917366,0,0.0,10.0
ampd,18.51851851851852,0.0,18.51851851851852,18.51851851851852,18.51851851851852,3.24,0.0,0.0,0.0,-0.004249226328762932,0.0020454731626031084,2,-0.011812080919716089,0.005252739339141991,0.01292735573189238,1,10.0,20.0
ampd,20.66115702479339,0.0,20.66115702479339,20.66115702479339,20.66115702479339,2.904,0.0,0.0,0.0,-0.0017419661773694635,0.0005668750226772518,2,-0.005960912776098787,0.0019369403751155923,0.006267712432858633,2,20.0,30.0
ampd,22.22222222222222,0.0,22.22222222222222,22.22222222222222,22.22222222222222,2.7,0.0,0.0,0.0,-0.0017624393621785625,0.00022004433879696398,2,-0.004174819537710819,0.0011653000620464704,0.004334402197195997,3,30.0,40.0
ampd,19.206145966709347,0.0,19.206145966709347,19.206145966709347,19.206145966709347,3.124,0.0,0.0,0.0,0.00021587771954864317,0.0016143181206346494,2,-0.0018199297294976124,0.0016489056156191652,0.0024558163509370307,4,40.0,50.0
ampd,23.944667894598354,3.082359132428671,20.862308762169683,27.027027027027025,23.944667894598354,2.548,0.32799999999999985,0.12872841444270008,0.6559999999999997,0.0020372315388951135,0.0006036265552344991,3,0.0004149125562728903,0.0010524897496819252,0.0011313209546978374,5,50.0,60.0
ampd,65.94739888905977,13.213639068875326,36.496350364963504,82.41758241758242,66.08057755006986,0.9624999999999999,0.2714475087378773,0.2820233857016907,0.4783447650865579,0.002750228886110371,0.0012445598662314352,9,0.0022151299071516695,0.001182788155814438,0.0025111328772274644,6,60.0,70.0
ampd,73.45185009145031,22.217201263760913,45.31722054380664,115.38461538461539,68.4931506849315,0.8884444444444445,0.2475511669269882,0.2786343799828531,0.29752983043721853,0.004901366929734744,0.001216217868577292,12,0.004030009946302615,0.0013621753369661798,0.004253998332855447,7,70.0,80.0
ampd,18.050541516245488,0.0,18.050541516245488,18.050541516245488,18.050541516245488,3.324,0.0,0.0,0.0,0.006833758045881606,0.0002743386805575472,2,0.005265988771702849,0.0009417426649466513,0.005349534277923762,8,80.0,90.0
ampd,74.13064682214157,18.683300285261485,51.90311418685121,115.38461538461539,68.05555555555556,0.8528,0.17719413082830932,0.20777923408572857,0.26687658404421905,0.006017382855910668,0.0005340539975892529,12,0.0055801316335287515,0.0005323424094661807,0.005605466750273746,9,90.0,100.0
ampd,22.37137709366728,0.016682607825256213,22.354694485842025,22.388059701492537,22.37137709366728,2.6820000000000004,0.0020000000000000018,0.0007457121551081289,0.0040000000000000036,0.008661626417940512,0.0009090184809846918,3,0.007192444060131989,0.0009168559268418531,0.0072506466159035065,10,100.0,110.0
ampd,17.0261066969353,0.0,17.0261066969353,17.0261066969353,17.0261066969353,3.524,0.0,0.0,0.0,0.011397802014177325,0.0006540538545708038,2,0.009511105028180786,0.0010676346070540952,0.009570839174872045,11,110.0,120.0
ampd,22.061544744152016,2.8553987774426695,19.206145966709347,24.916943521594686,22.061544744152016,2.766,0.3580000000000001,0.12942877801879973,0.7160000000000002,0.011942064722081305,0.00019591909522520505,3,0.010421768420730003,0.0007978162013676575,0.010452261368071975,12,120.0,130.0
ampd,72.43904561906872,15.878789120209985,38.75968992248062,97.40259740259741,72.11538461538461,0.8817777777777778,0.2571025639604976,0.2915729682011691,0.42835499296728174,0.012465860917296135,0.002356035977645886,11,0.010913582915739932,0.0016535536003317633,0.01103813985995379,13,130.0,140.0
ampd,80.5718025972534,21.821016371005975,38.36317135549872,106.38297872340426,77.45129351644842,0.8225,0.3053976915433383,0.3713041842472198,0.4824437791079911,0.013054356057480006,0.001323994119672488,15,0.012219851062180135,0.0018459015731382726,0.012358483426358566,14,140.0,150.0
