peak_method,resp_rate_mean,resp_rate_std,resp_rate_min,resp_rate_max,resp_rate_median,bbi_mean,bbi_std,bbi_cv,bbi_rmssd,peak_amp_mean,peak_amp_std,n_breaths,signal_mean,signal_std,signal_rms,segment,start_sec,end_sec
ampd,13.100436681222707,0.0,13.100436681222707,13.100436681222707,13.100436681222707,4.58,0.0,0.0,0.0,0.00607660123885976,0.0001335740938957922,2,-2.2269951054404968e-05,0.003975766945462732,0.00397582931667772,0,0.0,10.0
msptd,13.349422316813621,0.2375342049255078,13.111888111888113,13.586956521739129,13.349422316813621,4.496,0.07999999999999963,0.017793594306049737,0.15999999999999925,-0.0002585213441344827,0.006475814714585129,4,-4.028229429691379e-05,0.004082170326637676,0.004082369071864396,1,10.0,20.0
msptd,13.895348737426179,0.019308034373449523,13.876040703052729,13.914656771799628,13.895348737426179,4.318,0.005999999999999784,0.0013895321908290376,0.011999999999999567,-0.0008003319464234152,0.005839172179955561,4,-5.200512120766394e-05,0.004082334327801339,0.004082665562665773,2,20.0,30.0
ampd,13.748854262144821,0.0,13.748854262144821,13.748854262144821,13.748854262144821,4.364,0.0,0.0,0.0,0.004888278028598987,0.0010963749267786154,2,-0.00015159855288650483,0.0034277184866992596,0.0034310692422766906,3,30.0,40.0
ampd,12.658227848101266,0.0,12.658227848101266,12.658227848101266,12.658227848101266,4.74,0.0,0.0,0.0,0.006677696730550934,0.00038551282471905576,2,-0.00021580330964207043,0.004402075683325079,0.00440736218050825,4,40.0,50.0
msptd,14.095379840362707,0.24496432789733102,13.850415512465375,14.340344168260037,14.095379840362707,4.258,0.07399999999999984,0.017379051197745382,0.1479999999999997,-0.00042928909095405463,0.006385471599868655,4,-0.00016862665028356734,0.004043055646880359,0.004046570635854145,5,50.0,60.0
msptd,14.838885806627744,0.1761292083872723,14.66275659824047,15.015015015015015,14.838885806627744,4.044,0.04799999999999982,0.011869436201780372,0.09599999999999964,-0.000776944434049466,0.005416424054626471,4,-0.0005037160681460005,0.0035899039078392627,0.0036250710261770147,6,60.0,70.0
ampd,14.955134596211368,0.0,14.955134596211368,14.955134596211368,14.955134596211368,4.012,0.0,0.0,0.0,0.005740204899746483,0.0004357415303982261,2,-0.00029165685513290535,0.0037352626141768,0.003746631889846255,7,70.0,80.0
simple_threshold,15.680161837184103,0.3113093781677101,15.368852459016393,15.991471215351813,15.680161837184103,3.828,0.07600000000000007,0.01985370950888194,0.15200000000000014,0.0063775934666594584,0.00037735041891250975,3,0.0005561926988885068,0.003992659326970551,0.004031213070471693,8,80.0,90.0
ampd,12.964563526361278,0.0,12.964563526361278,12.964563526361278,12.964563526361278,4.628,0.0,0.0,0.0,0.00439078683844429,1.541152915149422e-05,2,-0.0008347313766452803,0.003441572260884882,0.00354135512170813,9,90.0,100.0
simple_threshold,15.43255402315805,1.0509624603584324,14.381591562799617,16.483516483516482,15.43255402315805,3.9059999999999997,0.2659999999999998,0.06810035842293902,0.5319999999999996,0.005937834949187464,0.0008759127243350277,3,0.000413526026986748,0.004151982851186289,0.004172525059426302,10,100.0,110.0
ampd,14.563106796116504,0.0,14.563106796116504,14.563106796116504,14.563106796116504,4.12,0.0,0.0,0.0,0.005310011568620771,0.0003730475844947352,2,-0.00023830783649830072,0.003424759347623387,0.0034330405203070744,11,110.0,120.0
