signal,signal_name,snr_db,snr_quality,n_r_peaks_raw,n_r_peaks_filtered,peak_rejection_rate,peak_consistency,rr_mean_ms,rr_std_ms,rr_cv,rr_regularity,n_impossible_rr,impossible_rr_pct,skewness,skewness_quality,kurtosis,kurtosis_quality,n_flatlines,flatline_pct,flatline_quality,peak_to_peak,rms_amplitude,amplitude_quality,qrs_band_ratio,qrs_band_quality,baseline_wander_ratio,baseline_wander_quality,seg_quality_mean,seg_quality_std,seg_quality_min,seg_quality_max,seg_n_good,seg_n_moderate,seg_n_poor,seg_total,overall_score,overall_quality,n_peaks_ampd,n_peaks_msptd,peak_method_agreement,peak_agreement_quality,bbi_cv,resp_rate_mean,bbi_regularity,n_impossible_breaths,impossible_breath_pct,breathing_band_ratio,breathing_band_quality,imu_name,ribs_acc_x_skewness,ribs_acc_x_kurtosis,ribs_acc_x_flatline_pct,ribs_acc_x_peak_to_peak,ribs_acc_x_rms,ribs_acc_x_spike_pct,ribs_acc_x_spike_quality,ribs_acc_y_skewness,ribs_acc_y_kurtosis,ribs_acc_y_flatline_pct,ribs_acc_y_peak_to_peak,ribs_acc_y_rms,ribs_acc_y_spike_pct,ribs_acc_y_spike_quality,ribs_acc_z_skewness,ribs_acc_z_kurtosis,ribs_acc_z_flatline_pct,ribs_acc_z_peak_to_peak,ribs_acc_z_rms,ribs_acc_z_spike_pct,ribs_acc_z_spike_quality,ribs_gyr_x_skewness,ribs_gyr_x_kurtosis,ribs_gyr_x_flatline_pct,ribs_gyr_x_peak_to_peak,ribs_gyr_x_rms,ribs_gyr_x_spike_pct,ribs_gyr_x_spike_quality,ribs_gyr_y_skewness,ribs_gyr_y_kurtosis,ribs_gyr_y_flatline_pct,ribs_gyr_y_peak_to_peak,ribs_gyr_y_rms,ribs_gyr_y_spike_pct,ribs_gyr_y_spike_quality,ribs_gyr_z_skewness,ribs_gyr_z_kurtosis,ribs_gyr_z_flatline_pct,ribs_gyr_z_peak_to_peak,ribs_gyr_z_rms,ribs_gyr_z_spike_pct,ribs_gyr_z_spike_quality,ribs_acc_mag_mean,ribs_acc_mag_std,ribs_gravity_deviation,ribs_acc_calibration,chest_acc_x_skewness,chest_acc_x_kurtosis,chest_acc_x_flatline_pct,chest_acc_x_peak_to_peak,chest_acc_x_rms,chest_acc_x_spike_pct,chest_acc_x_spike_quality,chest_acc_y_skewness,chest_acc_y_kurtosis,chest_acc_y_flatline_pct,chest_acc_y_peak_to_peak,chest_acc_y_rms,chest_acc_y_spike_pct,chest_acc_y_spike_quality,chest_acc_z_skewness,chest_acc_z_kurtosis,chest_acc_z_flatline_pct,chest_acc_z_peak_to_peak,chest_acc_z_rms,chest_acc_z_spike_pct,chest_acc_z_spike_quality,chest_gyr_x_skewness,chest_gyr_x_kurtosis,chest_gyr_x_flatline_pct,chest_gyr_x_peak_to_peak,chest_gyr_x_rms,chest_gyr_x_spike_pct,chest_gyr_x_spike_quality,chest_gyr_y_skewness,chest_gyr_y_kurtosis,chest_gyr_y_flatline_pct,chest_gyr_y_peak_to_peak,chest_gyr_y_rms,chest_gyr_y_spike_pct,chest_gyr_y_spike_quality,chest_gyr_z_skewness,chest_gyr_z_kurtosis,chest_gyr_z_flatline_pct,chest_gyr_z_peak_to_peak,chest_gyr_z_rms,chest_gyr_z_spike_pct,chest_gyr_z_spike_quality,chest_acc_mag_mean,chest_acc_mag_std,chest_gravity_deviation,chest_acc_calibration,mean_temperature,std_temperature,min_temperature,max_temperature,physiological_range,range,stability,n_sudden_jumps,jump_pct
lead1,lead1,22.234059796461825,good,70.0,70.0,0.0,good,942.8985507246376,63.190107675525674,0.0670168679620546,very_regular,0.0,0.0,3.926356257908117,poor,23.610284372910744,poor,0.0,0.0,good,1.370577242406794,0.13762323226608658,good,0.6094663898487782,moderate,2.3766301242630446e-05,good,49.774460743257556,0.6951135133298263,47.305059709269386,50.0,0.0,14.0,0.0,14.0,79.5,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lead2,lead2,21.075355712527294,good,70.0,70.0,0.0,good,942.8405797101449,63.31554819428002,0.06715403383862091,very_regular,0.0,0.0,1.7879194494343884,moderate,18.58855291621886,poor,0.0,0.0,good,1.6727709526012726,0.15029649905609363,good,0.5800297459577143,moderate,1.8926070378781404e-05,good,61.38925922661478,0.7244893095369257,59.575611208797156,62.2132440460812,0.0,14.0,0.0,14.0,83.5,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1,c1,22.88357083914812,good,71.0,71.0,0.0,good,941.8285714285714,63.09968789340322,0.06699699903740786,very_regular,0.0,0.0,-3.868119981206657,poor,22.941490308480986,poor,0.0,0.0,good,1.1157436392766602,0.11422065948310552,good,0.6987578592826741,moderate,2.2539939718708178e-05,good,50.0,0.0,50.0,50.0,0.0,14.0,0.0,14.0,79.5,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2,c2,22.541102106600604,good,71.0,71.0,0.0,good,941.7714285714286,63.56148236799018,0.06749141080273212,very_regular,0.0,0.0,-3.6596854849554066,poor,22.977911214116865,poor,0.0,0.0,good,1.0651338836612383,0.09947125530605094,good,0.6489944854138927,moderate,2.601410379181304e-05,good,49.966347665939075,0.1213352159956927,49.52886732314711,50.0,0.0,14.0,0.0,14.0,79.5,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3,c3,20.284082795545547,good,71.0,71.0,0.0,good,941.7714285714286,63.65850216553311,0.06759442921526784,very_regular,0.0,0.0,-3.0571187670398126,poor,18.265885300767422,poor,0.0,0.0,good,2.009567488085463,0.20524817984780538,good,0.7571787241240396,good,2.934643663722597e-05,good,51.586761265063835,1.185212367422302,47.63230292992915,52.47452864427696,0.0,14.0,0.0,14.0,82.0,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4,c4,17.558429721471654,good,71.0,71.0,0.0,good,941.7714285714286,63.06689677943379,0.06696624559432628,very_regular,0.0,0.0,0.7454370334200962,good,19.59758030788846,poor,0.0,0.0,good,2.6185261824825714,0.22438123067084126,good,0.515022203249685,moderate,7.19888849293517e-06,good,64.83230506411876,2.999159646822112,59.30140482138796,69.51768692623212,0.0,14.0,0.0,14.0,88.5,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5,c5,16.79868979959924,good,71.0,71.0,0.0,good,941.8285714285714,63.193799747527535,0.0670969236489341,very_regular,0.0,0.0,3.1208865438267055,poor,24.76934008074352,poor,0.0,0.0,good,2.2825470344657144,0.2009650851816257,good,0.4963301003447754,moderate,7.820581449118863e-06,good,45.02084558936012,3.3942714654499175,39.80555849044383,51.53972322785258,0.0,13.0,1.0,14.0,79.5,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impedance_pneumography,impedance_pneumography,10.072111376506388,good,,,,,,,,,,,-0.06677657965069046,good,-0.9705096645539242,good,0.0,0.0,good,1.8211373229767007,0.3986574694205852,,,,,,,,,,,,,,74.5,good,13.0,30.0,0.43333333333333335,poor,0.4301068371652608,28.594471735464474,irregular,2.0,7.6923076923076925,0.7776490432884886,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imu_ribs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,moderate,,,,,,,,,,,,ribs,-0.34754906231283256,0.6855679362725047,0.0,0.41329587349690866,0.05378047666238442,1.049618320610687,moderate,-0.311910745807075,-0.35154324005447,0.0,0.882937469714861,0.15310583090886212,0.9363072519083969,good,-0.10189050683783009,-1.508864284240891,0.0,1.4747332556218975,0.40929155523328514,0.20276717557251908,good,0.1725233174541755,-0.5189172919451339,0.0,0.004554190376837748,0.0008427112776539424,1.1092557251908397,moderate,0.017310393458542135,-1.2563893250773313,0.0,0.014093599441069887,0.0036972469173964418,0.2206583969465649,good,-0.6583641558344432,-0.20990880518500354,0.0,0.00716306497444638,0.0014528373061040625,1.0436545801526718,moderate,0.4066892070953696,0.16869262327009815,9.40331079290463,poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imu_chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.66666666666667,moderate,,,,,,,,,,,,chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11272259042772136,-1.336515869872997,0.0,0.886268851306525,0.2132953719219841,0.4830629770992366,good,-0.1651709429926854,-1.4567908642070018,0.0,0.8504399271831404,0.23795279372513473,0.7395038167938931,good,0.07762907811143395,-1.2118788150342885,0.0,0.51508104193565,0.11668865165102202,0.78125,good,0.21803567230394416,-1.033482004735405,0.0,0.012650632800092574,0.0029310377513907847,0.13120229007633588,good,0.1431412896827986,-1.038093298640686,0.0,0.010786603243332717,0.002395151257120874,0.6381202290076335,good,-0.10141943819662629,-0.3075095086977906,0.0,0.002675590664102401,0.0004772648433750129,2.0873091603053435,moderate,0.3166159292933236,0.12444694639400657,9.493384070706677,poor,,,,,,,,,
