signal,signal_name,snr_db,snr_quality,n_r_peaks_raw,n_r_peaks_filtered,peak_rejection_rate,peak_consistency,rr_mean_ms,rr_std_ms,rr_cv,rr_regularity,n_impossible_rr,impossible_rr_pct,skewness,skewness_quality,kurtosis,kurtosis_quality,n_flatlines,flatline_pct,flatline_quality,peak_to_peak,rms_amplitude,amplitude_quality,qrs_band_ratio,qrs_band_quality,baseline_wander_ratio,baseline_wander_quality,seg_quality_mean,seg_quality_std,seg_quality_min,seg_quality_max,seg_n_good,seg_n_moderate,seg_n_poor,seg_total,overall_score,overall_quality,peak_detection_error,n_peaks_ampd,n_peaks_msptd,peak_method_agreement,peak_agreement_quality,bbi_cv,resp_rate_mean,bbi_regularity,n_impossible_breaths,impossible_breath_pct,breathing_band_ratio,breathing_band_quality,imu_name,ribs_acc_x_skewness,ribs_acc_x_kurtosis,ribs_acc_x_flatline_pct,ribs_acc_x_peak_to_peak,ribs_acc_x_rms,ribs_acc_x_spike_pct,ribs_acc_x_spike_quality,ribs_acc_y_skewness,ribs_acc_y_kurtosis,ribs_acc_y_flatline_pct,ribs_acc_y_peak_to_peak,ribs_acc_y_rms,ribs_acc_y_spike_pct,ribs_acc_y_spike_quality,ribs_acc_z_skewness,ribs_acc_z_kurtosis,ribs_acc_z_flatline_pct,ribs_acc_z_peak_to_peak,ribs_acc_z_rms,ribs_acc_z_spike_pct,ribs_acc_z_spike_quality,ribs_gyr_x_skewness,ribs_gyr_x_kurtosis,ribs_gyr_x_flatline_pct,ribs_gyr_x_peak_to_peak,ribs_gyr_x_rms,ribs_gyr_x_spike_pct,ribs_gyr_x_spike_quality,ribs_gyr_y_skewness,ribs_gyr_y_kurtosis,ribs_gyr_y_flatline_pct,ribs_gyr_y_peak_to_peak,ribs_gyr_y_rms,ribs_gyr_y_spike_pct,ribs_gyr_y_spike_quality,ribs_gyr_z_skewness,ribs_gyr_z_kurtosis,ribs_gyr_z_flatline_pct,ribs_gyr_z_peak_to_peak,ribs_gyr_z_rms,ribs_gyr_z_spike_pct,ribs_gyr_z_spike_quality,ribs_acc_mag_mean,ribs_acc_mag_std,ribs_gravity_deviation,ribs_acc_calibration,chest_acc_x_skewness,chest_acc_x_kurtosis,chest_acc_x_flatline_pct,chest_acc_x_peak_to_peak,chest_acc_x_rms,chest_acc_x_spike_pct,chest_acc_x_spike_quality,chest_acc_y_skewness,chest_acc_y_kurtosis,chest_acc_y_flatline_pct,chest_acc_y_peak_to_peak,chest_acc_y_rms,chest_acc_y_spike_pct,chest_acc_y_spike_quality,chest_acc_z_skewness,chest_acc_z_kurtosis,chest_acc_z_flatline_pct,chest_acc_z_peak_to_peak,chest_acc_z_rms,chest_acc_z_spike_pct,chest_acc_z_spike_quality,chest_gyr_x_skewness,chest_gyr_x_kurtosis,chest_gyr_x_flatline_pct,chest_gyr_x_peak_to_peak,chest_gyr_x_rms,chest_gyr_x_spike_pct,chest_gyr_x_spike_quality,chest_gyr_y_skewness,chest_gyr_y_kurtosis,chest_gyr_y_flatline_pct,chest_gyr_y_peak_to_peak,chest_gyr_y_rms,chest_gyr_y_spike_pct,chest_gyr_y_spike_quality,chest_gyr_z_skewness,chest_gyr_z_kurtosis,chest_gyr_z_flatline_pct,chest_gyr_z_peak_to_peak,chest_gyr_z_rms,chest_gyr_z_spike_pct,chest_gyr_z_spike_quality,chest_acc_mag_mean,chest_acc_mag_std,chest_gravity_deviation,chest_acc_calibration,mean_temperature,std_temperature,min_temperature,max_temperature,physiological_range,range,stability,n_sudden_jumps,jump_pct
lead1,lead1,13.290843068424094,good,103.0,103.0,0.0,good,1095.137254901961,104.69695195815007,0.09560167137910286,very_regular,0.0,0.0,1.8479771256446746,moderate,2.7454560019561196,good,0.0,0.0,good,0.9181966181935513,0.16178188910488908,good,0.171739421154869,poor,0.005023828148974793,good,64.25678533004552,6.808869230976619,47.777531437095035,77.52843422361455,4.0,19.0,0.0,23.0,90.5,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lead2,lead2,14.682201608188986,good,103.0,103.0,0.0,good,1095.137254901961,104.44043608920663,0.09536743967180293,very_regular,0.0,0.0,3.096110008799056,poor,10.750712859012106,poor,0.0,0.0,good,1.1615338346425967,0.1690171965436349,good,0.40823757682364786,moderate,0.003437723832099163,good,40.07045267539468,6.024240771021155,27.680279316798682,49.67157708812705,0.0,12.0,11.0,23.0,79.5,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1,c1,inf,good,,,,,,,,,,,,poor,,poor,1.0,99.99687734199351,poor,0.0,0.0,poor,0.0,poor,0.0,good,,,,,0.0,0.0,0.0,26.0,46.5,moderate,array must not contain infs or NaNs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2,c2,5.780011631870133,moderate,118.0,118.0,0.0,good,1079.076923076923,120.33614982471023,0.11151767520111441,regular,0.0,0.0,-3.0187212040636395,poor,14.190386616151496,poor,0.0,0.0,good,3.4383973930015053,0.25727436159166595,good,0.4120827541556611,moderate,0.007744685329824903,good,38.74275051687643,13.953894083675767,0.0,50.0,0.0,17.0,9.0,26.0,67.25,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3,c3,3.456915096637987,poor,118.0,118.0,0.0,good,1078.3589743589744,121.73127624420142,0.1128856708560932,regular,0.0,0.0,0.4650432889009058,good,4.734801393297904,moderate,0.0,0.0,good,2.6886370962089767,0.2163292735467752,good,0.12408786277030698,poor,0.017909942075233484,good,62.87014585035495,14.701761415396023,32.71157080335915,78.1416022474393,10.0,13.0,3.0,26.0,70.25,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4,c4,5.886629374450533,moderate,118.0,118.0,0.0,good,1079.076923076923,118.9922179345947,0.1102722293377339,regular,0.0,0.0,1.55379849823006,moderate,4.782916281574355,moderate,0.0,0.0,good,2.9749154169602026,0.24754883337931757,good,0.25332991024419366,poor,0.013065510925775502,good,55.72427799646233,12.94428197459579,23.045974932736943,75.20666774161205,5.0,18.0,3.0,26.0,73.25,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5,c5,6.37017485647183,moderate,118.0,118.0,0.0,good,1079.042735042735,118.95803994574396,0.11024404880593786,regular,0.0,0.0,2.2723834015790807,poor,8.41019468834955,poor,0.0,0.0,good,3.902576519260813,0.3227729165477343,good,0.34247851925465517,poor,0.011333813875621426,good,41.946751177501184,13.457110590533581,3.248561043003626,66.1335480078404,0.0,16.0,10.0,26.0,65.25,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impedance_pneumography,impedance_pneumography,14.015989200755218,good,,,,,,,,,,,0.7752287468755757,good,2.224867141628546,good,0.0,0.0,good,1.585481991969783,0.2250490363959041,,,,,,,,,,,,,,74.5,good,,22.0,46.0,0.4782608695652174,poor,0.504513772607708,22.88523478555687,irregular,0.0,0.0,0.7925649936883753,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imu_ribs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,moderate,,,,,,,,,,,,,ribs,,,99.99687734199351,0.0,0.0,0.0,good,,,99.99687734199351,0.0,0.0,0.0,good,,,99.99687734199351,0.0,0.0,0.0,good,,,99.99687734199351,0.0,0.0,0.0,good,,,99.99687734199351,0.0,0.0,0.0,good,,,99.99687734199351,0.0,0.0,0.0,good,0.0,0.0,9.81,poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imu_chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,moderate,,,,,,,,,,,,,chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.99687734199351,0.0,0.0,0.0,good,,,99.99687734199351,0.0,0.0,0.0,good,,,99.99687734199351,0.0,0.0,0.0,good,,,99.99687734199351,0.0,0.0,0.0,good,,,99.99687734199351,0.0,0.0,0.0,good,,,99.99687734199351,0.0,0.0,0.0,good,0.0,0.0,9.81,poor,,,,,,,,,
