segment,start_sec,end_sec,dev_resp_rate_mean,ref_resp_rate_mean,AE_resp_rate_mean,dev_spi,ref_spi,AE_spi
0,0.0,30.0,16.06632551678668,16.015685595441035,0.05063992134564543,0.572168000670785,0.605929211444571,0.03376121077378602
1,10.0,40.0,15.656176678099898,15.669052071917646,0.012875393817747494,0.7299392498234245,0.7600462459951054,0.03010699617168089
2,20.0,50.0,14.988427241174822,15.025938675870913,0.03751143469609097,0.7413891203848112,0.7822924063685804,0.040903285983769244
3,30.0,60.0,13.847119458010997,13.789998752208476,0.0571207058025216,0.7411927895135612,0.7590904902401141,0.017897700726552945
4,40.0,70.0,14.264689162914857,14.301062506760536,0.03637334384567836,0.8042381008885406,0.8087203207522388,0.0044822198636981225
5,50.0,80.0,16.42390871173936,16.401229143736874,0.022679568002487827,0.8644581120867424,0.8622372740944443,0.002220837992298108
6,60.0,90.0,17.64823741015675,17.6282410698413,0.019996340315447725,0.7879486424716878,0.7921619870476037,0.004213344575915823
7,70.0,100.0,17.024248980685247,17.018517734754543,0.005731245930704176,0.7249181294224903,0.7441408256249478,0.019222696202457423
8,80.0,110.0,14.74370368185042,14.67731871547425,0.06638496637616953,0.6605104455720197,0.7010964539141958,0.04058600834217618
9,90.0,120.0,14.486741437003891,14.53741246718576,0.050671030181868915,0.4945300485054162,0.5823601684941712,0.08783011998875495
